Variable Angle Spectroscopic Ellipsometric (VASE) Data
Wavelength (nm)	Psi (65.00, 70.00, 75.00°)	Delta (65.00, 70.00, 75.00°)									Model	
346.159973	34.087952	230.283798	33.729614	231.336075	43.787659	258.869873	44.084553	259.927582	76.891319	203.473907	76.804398	206.204422	
347.751465	35.761082	236.257858	35.276596	237.409378	48.084003	253.331406	48.378452	254.305389	72.517174	119.476379	73.041306	123.469826	
349.342926	37.562618	240.668533	37.055584	241.715546	53.440479	242.056198	54.049511	243.396423	60.857136	92.940552	61.596970	94.356689	
350.934387	39.402519	242.620819	39.137299	244.016174	60.612526	222.462494	60.934689	223.348419	52.587814	79.524223	53.506474	81.317314	
352.525909	42.190865	241.935165	41.637154	243.950684	65.505585	186.227478	66.146782	187.831894	47.988247	72.439529	48.279518	73.814507	
354.117371	45.239380	238.809036	44.703957	240.952148	63.915676	144.378616	64.350800	145.957642	44.547184	68.093269	44.796230	69.610397	
355.708954	48.568401	232.188293	48.460888	234.097412	57.783623	117.282753	58.029678	118.611320	42.024670	67.299805	42.310169	67.819153	
357.300415	52.732086	220.790207	52.796364	221.894592	51.859016	102.398087	52.055779	103.413734	40.140659	67.032097	40.364132	67.941895	
358.891937	56.710335	203.543472	56.851292	202.482056	47.903923	95.517952	47.544510	94.765015	38.699081	68.987816	38.671650	69.685387	
360.483459	58.637093	176.555923	58.639252	176.396118	44.219292	90.496933	44.253071	90.130714	36.934998	72.111061	37.039822	72.904655	
362.074890	55.973839	148.968216	56.884598	150.491714	41.941647	87.748337	41.779751	88.342880	34.821548	77.245613	35.322342	77.571014	
363.666443	52.908314	129.970810	53.061989	131.259384	39.721680	88.566376	39.799709	88.762634	33.200886	83.513931	33.400898	83.749626	
365.257965	48.829006	118.165298	49.091099	118.923508	38.493797	90.011093	38.079380	90.997200	30.965317	90.313126	31.181402	91.600296	
366.849457	46.183708	111.959534	45.725182	111.631180	36.739571	93.977875	36.460751	94.795578	28.700497	99.585030	28.618963	101.399841	
368.441010	43.639767	107.734550	43.017361	107.918419	34.970318	98.494034	34.840427	100.002525	25.763700	110.793266	25.754988	113.592766	
370.032501	41.336926	106.845734	40.818233	106.842834	33.042397	105.161957	33.162922	106.534195	22.802729	125.908218	22.790672	128.831909	
371.623993	39.275879	107.925873	38.966259	107.780388	31.344397	113.178360	31.414001	114.363815	20.072485	145.330872	20.149441	147.822693	
373.215515	37.376640	110.640289	37.338291	110.303345	29.996708	122.114548	29.622625	123.501732	18.060843	167.904312	18.450241	170.498978	
374.806946	35.865574	114.203667	35.853199	114.114868	27.873875	132.189789	27.862080	133.973145	18.005995	193.035339	18.207836	194.717606	
376.398499	34.148983	118.287567	34.463531	119.009521	26.399055	144.643127	26.245720	145.770844	19.028158	217.844177	19.398632	216.934891	
